id,title,link
0,Sachin Tendulkar - Wikipedia,https://en.wikipedia.org/wiki/Sachin_Tendulkar
1,Sachin Tendulkar Profile - ICC Ranking, Age, Career Info & Stats ...,http://www.cricbuzz.com/profiles/25/sachin-tendulkar
2,sachin tendulkar (@sachin_rt) | Twitter,https://twitter.com/sachin_rt?lang=en
3,Sachin Tendulkar | India Cricket | Cricket Players and Officials | ESPN ...,http://www.espncricinfo.com/india/content/player/35320.html
4,Sachin Tendulkar: When Bharat Ratna Sachin Tendulkar was not ...,https://timesofindia.indiatimes.com/india/when-sachin-tendulkar-was-not-allowed-to-speak-in-rajya-sabha/articleshow/62192355.cms
5,No Sachin Tendulkar Rajya Sabha speech debut as Congress MPs ...,http://indiatoday.intoday.in/story/sachin-tendulkar-rajya-sabha-speech-foiled-congress-mps-angry-narendra-modi-pakistan-remark/1/1115179.html
6,Sachin Tendulkar, does Bharat Ratna give you license to speak, asks ...,http://indiatoday.intoday.in/story/sachin-tendulkar-does-bharat-ratna-give-you-license-to-speak-asks-renuka-chowdhary/1/1115387.html
7,Sachin Tendulkar at Rajya Sabha: Uproar stalls legend's speech ...,http://www.hindustantimes.com/cricket/live-updates-sachin-tendulkar-at-rajya-sabha-on-right-to-play-and-future-of-sports-in-india/story-8VBvtfeFdAfuoSezbR7tBN.html
